city,lat,lon
Skopje,41.9833,21.4333
Tetovo,42.0103,20.9714
Bitola,41.0319,21.3347
Kumanovo,42.1322,21.7144
Prilep,41.3464,21.5542
Ohrid,41.1169,20.8019
Strumica,41.4375,22.6431
Veles,41.7153,21.7753
Štip,41.7358,22.1914
Kavadarci,41.4328,22.0117
Gostivar,41.8,20.9167
Kočani,41.9167,22.4125
Kičevo,41.5142,20.9631
Struga,41.1775,20.6789
Radoviš,41.6381,22.4644
Gevgelija,41.1392,22.5025
Debar,41.525,20.5272
Kriva Palanka,42.2017,22.3317
Sveti Nikole,41.865,21.9425
Negotino,41.4839,22.0892
Delčevo,41.9661,22.7747
Vinica,41.8828,22.5092
Probištip,41.9936,22.1767
Aračinovo,42.0264,21.5617
Berovo,41.7078,22.8564
Kratovo,42.0783,22.175
Bogovinje,41.9233,20.9133
Bogdanci,41.2031,22.5728
Studeničani,41.9158,21.5306
Sopište,41.95,21.4333
Kruševo,41.37,21.2483
Vrapčište,41.8337,20.8851
Valandovo,41.3169,22.5611
Želino,41.9794,21.0619
Tearce,42.0775,21.0519
Makedonski Brod,41.5133,21.2153
Demir Kapija,41.4114,22.2422
Pehčevo,41.7592,22.8906
Brvenica,41.9667,20.9833
Novo Selo,41.4128,22.88
Vevčani,41.2403,20.5931
Petrovec,41.9333,21.6167
Lipkovo,42.1553,21.5875
Demir Hisar,41.2208,21.2031
Rosoman,41.5161,21.9497
Plasnica,41.4667,21.1167
Mogila,41.1083,21.3786
Krivogaštani,41.3358,21.3331
Zrnovci,41.8542,22.4442
Gradsko,41.5775,21.9428
Vasilevo,41.4758,22.6417
Bosilovo,41.4406,22.7278
Staro Nagoričane,42.2,21.83
Rankovce,42.1817,22.1228
Novaci,41.0419,21.4561
Konče,41.4958,22.3825
Obleševo,41.8833,22.3339
Belčišta,41.3028,20.8303
Jegunovce,42.0731,21.1231
Lozovo,41.7817,21.9025
Dolneni,41.4264,21.4536
Rostuša,41.61,20.6
Centar Župa,41.4775,20.5578
Zelenikovo,41.8867,21.5869
Čučer-Sandevo,42.0975,21.3877
Karbinci,41.8167,22.2375
Star Dojran,41.1865,22.7203
Ilinden,41.9945,21.58
Makedonska Kamenica,42.0208,22.5876
Resen,41.0893,21.0109
